0.4,3,30.98,-26.5,-11.8
0.42,4,31,-9.6,3.4
0.32,5,30.91,-16.9,2
0.22,6,30.93,-29.4,-14.3
0.2,7,31.07,-14.1,-4.5
0.17,8,30.89,-21.8,-5.1
0.25,9,30.96,-10.7,1.9
0.33,10,31.02,-1.3,6.1
0.3,11,30.81,-3.8,1.8
0.25,12,30.97,-17.3,-7.6
0.23,13,31.21,-7.3,1.1
0.15,14,30.91,-8.6,5
0.12,15,31.1,-9.9,3.2
0.09,16,31.13,-8.1,-0.4
0.09,17,30.97,-2,10.4
-0.05,18,30.86,2.1,10.4
0.16,19,31.02,3.5,18.6
0.46,20,30.89,-2.7,17
0.74,21,30.96,0.5,21
1.09,22,30.97,8.3,22.5
1.52,23,31.04,6.82,22.12
1.79,24,30.83,5.4,20.2
1.97,25,31.08,12,28.3
2.23,26,30.84,9.5,23.5
2.44,27,30.92,17.1,29.3
2.73,28,30.96,7,26.9
2.76,29,30.8,16.4,25.4
2.83,30,30.98,13.8,29.8
2.92,31,31.02,13.3,25
2.86,32,30.97,16.6,27.8
2.9,33,31.01,12.9,28.1
2.91,34,31,12.7,24.8
2.81,35,31,12.8,26.9
2.77,36,31.01,12.7,24.9
2.67,37,30.91,2.5,15.5
2.67,38,30.84,12.5,28.5
2.72,39,30.96,3.02,14.32
2.4,40,30.91,4.12,13.52
2.36,41,31.05,1.32,9.62
2.29,42,31.08,0.52,6.42
1.57,43,30.87,0.62,9.62
1.44,44,30.87,-9.48,4.32
1.18,45,30.9,1.12,3.62
1.03,46,30.99,-6.18,1.92
0.65,47,30.99,-9.58,-0.98
0.4,48,30.89,-11.18,0.72
0.35,49,30.84,-5.38,-0.18
0.31,50,30.87,-26.18,-13.98
0.32,51,30.93,-5.28,3.62
0.15,52,30.88,-6.88,7.32
0.18,53,31.06,-21.98,0.92
0.22,2,30.81,-1.38,2.02
0.25,3,31.06,-23.18,-13.58
0.27,4,30.77,-32.08,-20.38
0.18,5,30.74,-27.58,-14.18
0.09,6,30.88,-22.28,-9.48
0.09,7,30.91,-17.08,-8.58
0.02,8,30.78,-15.38,-2.98
-0.01,9,30.96,-17.68,0.42
-0.13,10,31.03,-18.68,-0.68
-0.14,11,31,-16.38,-2.38
-0.09,12,30.8,-10.08,2.82
-0.08,13,30.91,-7.38,2.42
-0.06,14,30.91,-8.38,0.62
-0.03,15,31.1,-2.58,7.22
-0.05,16,30.91,0.62,13.42
-0.08,17,31.05,2.02,9.62
-0.05,18,30.9,-1.08,6.22
0.07,19,30.9,0.62,16.42
0.28,20,30.91,-0.28,10.42
0.43,21,30.88,6.82,16.12
0.67,22,30.89,5.72,20.52
0.9,23,30.96,1.82,21.02
1.25,24,31,4.12,23.22
1.57,25,31.05,9.62,15.22
1.63,26,31.07,12.22,24.82
1.9,27,31.04,15.02,25.42
2.28,28,31.11,12.22,25.92
2.24,29,31,14.72,28.32
2.38,30,30.88,17.92,31.42
2.51,31,30.83,15.92,30.62
2.59,32,30.79,10.42,23.22
2.81,33,30.97,11.42,19.82
2.86,34,31.07,12.62,26.12
2.88,35,30.96,9.42,23.52
2.85,36,31.05,6.42,19.32
2.67,37,30.84,9.32,13.62
2.53,38,30.96,10.42,16.62
2.42,39,31.09,10.42,24.52
2.37,40,30.89,6.52,15.92
2.25,41,31.1,-0.48,12.12
2.05,42,30.95,3.92,12.42
2.18,43,31.05,-0.58,10.72
2.08,44,30.87,-0.68,10.32
2.04,45,30.98,-1.18,2.52
1.69,46,30.93,-8.28,-0.78
1.17,47,31.05,-16.68,-6.08
0.78,48,30.92,-12.68,-3.08
0.67,49,30.92,-16.18,-8.88
0.57,50,30.96,-15.18,-6.98
0.21,51,31.04,-3.38,4.12
0.14,52,31.1,-16.28,-9.58
0.14,53,30.94,-4.28,2.12
0.07,2,30.88,-5.98,0.42
0.17,3,31.09,-11.38,1.82
0.12,4,30.88,-27.58,-16.88
0.26,5,31.02,-8.38,-0.08
0.12,6,30.87,-12.48,-0.68
0.02,7,30.93,-26.38,-14.88
0.05,8,30.97,-28.08,-8.38
-0.05,9,30.86,-8.5,2.8
0.01,10,31,-18.9,-6.9
0.06,11,31.04,-15,2
0.02,12,30.93,-9.7,1.6
0.05,13,31.03,-15.6,-4.5
0.02,14,30.93,-8,7.3
0.02,15,31.09,0.4,10.6
-0.05,16,30.83,-4.5,4.9
0.02,17,30.96,-8.4,7.9
0.12,18,31.04,-3.2,12.7
0.24,19,30.97,-0.5,17.1
0.26,20,30.96,-2.6,3.9
0.37,21,31.14,5.6,17.8
0.68,22,30.93,5.9,20.1
1.09,23,30.92,4.4,18.3
1.34,24,31.08,7.5,22.8
1.52,25,30.8,3.8,16.3
1.72,26,30.88,15.3,33.1
2.22,27,31.15,14,20.2
2.25,28,31.1,12.8,27.6
2.3,29,30.92,19.9,23.5
2.36,30,31,16.4,29.1
2.3,31,31.01,14.8,29
2.34,32,30.92,14.8,28.6
2.26,33,31.09,13.4,27.6
2.18,34,31.03,13,25.1
2.16,35,30.87,9,24.4
2.03,36,30.84,10,12.9
1.91,37,31.06,6,18.9
1.74,38,30.82,4.1,18.3
1.6,39,30.92,-0.5,11.3
1.56,40,30.97,5.1,22.7
1.56,41,31.01,3,10.6
1.22,42,31.1,2.9,20.4
1,43,31.01,0,11
0.77,44,30.91,-0.3,15.5
0.46,45,30.95,-10.7,3.6
0.18,46,31,3.1,15.9
0.22,47,30.88,-5.7,4.4
-0.08,48,30.89,-7.6,3.2
-0.16,49,31.03,-0.4,4.7
-0.02,50,31.08,-5.8,0.6
-0.19,51,31.08,-3.7,-0.8
-0.21,52,31.15,-19.1,-6
-0.16,53,30.8,-11.8,-0.5
-0.21,2,30.96,-10.7,-2.6
-0.12,3,30.98,-10,-1.3
-0.14,4,30.83,-3.9,-1.3
-0.21,5,30.82,-17.8,-11
-0.27,6,30.8,-23.1,-12
-0.2,7,30.95,-14.1,-5.2
-0.32,8,30.91,-22.7,-8.7
-0.34,9,30.78,-14.8,-4.8
-0.37,10,30.83,-17.5,-1.5
-0.45,11,30.81,-14.4,-6.3
-0.27,12,31.09,-10.5,-2.7
-0.35,13,31.01,-7.9,9
-0.37,14,31.03,-2.2,2.3
-0.44,15,31.16,-10.8,8.1
-0.2,16,31.21,3.9,21.2
0.15,17,31.09,0.6,10.7
0.3,18,30.89,2.7,18.9
0.4,19,30.88,-0.6,10.9
0.51,20,30.98,2.8,15
0.62,21,30.94,4.3,23
1.02,22,31.1,15.8,27
